Method,Recall@10,QPS,p50 Latency (ms),p95 Latency (ms),Index Size (MB),RAM Usage (MB)
brute,1.0,13.681577181329741,73.09098846912384,80.40008731603623,179.90149021148682,18.86328125
ivf_nprobe_32,0.9997799999999999,29.139133796302406,34.31811003684997,37.74992104053498,181.20250129699707,10.51953125
ivf_nprobe_16,0.99839,50.93178941683719,19.63410301208496,21.597513313293458,181.1939868927002,309.6953125
ivf_nprobe_4,0.9597700000000001,238.18067503461063,4.198493432998657,4.6183427762985225,181.19864749908447,100.3359375
ivf_nprobe_1,0.6670200000000001,1207.5611804647115,0.8281153917312621,0.9109269309043885,181.1945276260376,38.58203125
hnsw_ef_10,0.0,23401.169862102674,0.04273290634155274,0.047006196975708014,367.83555698394775,3.19140625
hnsw_ef_50,0.0,7346.313097698532,0.1361227035522461,0.14973497390747073,367.83555698394775,3.29296875
hnsw_ef_100,0.0,4504.78843420865,0.2219860076904297,0.24418460845947268,367.83555793762207,3.30078125
